filler,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender,Defender
Attack,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
Bug,1,1.4,1,1,0.714,0.714,0.714,0.714,0.714,1.4,1,1,1,0.714,1.4,1,0.714,1
Dark,1,0.714,1,1,0.714,0.714,1,1,1.4,1,1,1,1,1,1.4,1,1,1
Dragon,1,1,1.4,1,0.51,1,1,1,1,1,1,1,1,1,1,1,0.714,1
Electric,1,1,0.714,0.714,1,1,1,1.4,1,0.714,0.51,1,1,1,1,1,1,1.4
Fairy,1,1.4,1.4,1,1,1.4,0.714,1,1,1,1,1,1,0.714,1,1,0.714,1
Fighting,0.714,1.4,1,1,0.714,1,1,0.714,0.51,1,1,1.4,1.4,0.714,0.714,1.4,1.4,1
Fire,1.4,1,0.714,1,1,1,0.714,1,1,1.4,1,1.4,1,1,1,0.714,1.4,0.714
Flying,1.4,1,1,0.714,1,1.4,1,1,1,1.4,1,1,1,1,1,0.714,0.714,1
Ghost,1,0.714,1,1,1,1,1,1,1.4,1,1,1,0.51,1,1.4,1,1,1
Grass,0.714,1,0.714,1,1,1,0.714,0.714,1,0.714,1.4,1,1,0.714,1,1.4,0.714,1.4
Ground,0.714,1,1,1.4,1,1,1.4,0.51,1,0.714,1,1,1,1.4,1,1.4,1.4,1
Ice,1,1,1.4,1,1,1,0.714,1.4,1,1.4,1.4,0.714,1,1,1,1,0.714,0.714
Normal,1,1,1,1,1,1,1,1,0.51,1,1,1,1,1,1,0.714,0.714,1
Poison,1,1,1,1,1.4,1,1,1,0.714,1.4,0.714,1,1,0.714,1,0.714,0.51,1
Psychic,1,0.51,1,1,1,1.4,1,1,1,1,1,1,1,1.4,0.714,1,0.714,1
Rock,1.4,1,1,1,1,0.714,1.4,1.4,1,1,0.714,1.4,1,1,1,1,0.714,1
Steel,1,1,1,0.714,1.4,1,0.714,1,1,1,1,1.4,1,1,1,1.4,0.714,0.714
Water,1,1,0.714,1,1,1,1.4,1,1,0.714,1.4,1,1,1,1,1.4,1,0.714
